Day,Time,Temperature (°C),Wind speed (mph),Location (six-figure grid reference),New Column
Monday,00:00,9.0,6,207155,
Monday,00:15,9.1,6,205954,
Monday,00:30,9.3,5,207371,
Monday,00:45,9.4,6,205950,
Monday,01:00,9.5,7,206542,
Monday,01:15,9.6,5,206612,
Monday,01:30,9.8,7,205258,
Monday,01:45,9.9,7,207180,
Monday,02:00,10.0,5,205619,
Monday,02:15,10.1,7,206157,
Monday,02:30,10.3,6,206165,
Monday,02:45,10.4,7,206618,
Monday,03:00,10.5,7,205608,
Monday,03:15,10.6,6,205676,
Monday,03:30,10.8,7,206483,
Monday,03:45,10.9,5,207197,
Monday,04:00,11.0,5,207466,
Monday,04:15,11.1,5,206410,
Monday,04:30,11.3,5,207270,
Monday,04:45,11.4,5,205096,
Monday,05:00,11.5,6,207551,
Monday,05:15,11.7,7,205606,
Monday,05:30,11.8,7,205323,
Monday,05:45,11.9,6,205858,
Monday,06:00,12.0,5,207926,
Monday,06:15,12.2,5,207269,
Monday,06:30,12.3,5,205764,
Monday,06:45,12.4,5,205466,
Monday,07:00,12.5,7,206821,
Monday,07:15,12.7,6,206197,
Monday,07:30,12.8,7,206063,
Monday,07:45,12.9,6,207683,
Monday,08:00,13.0,6,205799,
Monday,08:15,13.2,7,207549,
Monday,08:30,13.3,5,206795,
Monday,08:45,13.4,5,206077,
Monday,09:00,13.5,7,205279,
Monday,09:15,13.7,6,205989,
Monday,09:30,13.8,5,207565,
Monday,09:45,13.9,6,205515,
Monday,10:00,14.1,6,205869,
Monday,10:15,14.2,5,205556,
Monday,10:30,14.3,6,207876,
Monday,10:45,14.4,7,205015,
Monday,11:00,14.6,6,206078,
Monday,11:15,14.7,5,207096,
Monday,11:30,14.8,5,205503,
Monday,11:45,14.9,7,207282,
Monday,12:00,15.1,7,206458,
Monday,12:15,15.1,7,207632,
Monday,12:30,14.9,6,205393,
Monday,12:45,14.8,5,205842,
Monday,13:00,14.7,5,205873,
Monday,13:15,14.6,7,206727,
Monday,13:30,14.4,7,205730,
Monday,13:45,14.3,5,206342,
Monday,14:00,14.2,5,207075,
Monday,14:15,14.1,6,205569,
Monday,14:30,13.9,7,207223,
Monday,14:45,13.8,5,207161,
Monday,15:00,13.7,6,206009,
Monday,15:15,13.5,7,205365,
Monday,15:30,13.4,7,207949,
Monday,15:45,13.3,5,207951,
